centro_de_costo,codigo_centro_costo,ue
DESPACHO MINISTERIAL,10000,24
CONSEJO NACIONAL DE EDUCACION,10100,24
PROCURADURIA PUBLICA,10200,24
ORGANO DE CONTROL INSTITUCIONAL,10300,24
UNIDAD DE CONTROL DE GESTION,10301,24
UNIDAD DE CONTROL FINANCIERO,10302,24
SECRETARIA GENERAL,20000,24
OFICINA GENERAL DE ADMINISTRACION,20100,24
OFICINA DE LOGISTICA,20101,24
OFICINA DE CONTABILIDAD Y CONTROL PREVIO,20102,24
OFICINA DE TESORERIA,20103,24
OFICINA DE EJECUCION COACTIVA,20104,24
OFICINA GENERAL DE RECURSOS HUMANOS,20200,24
OFICINA DE GESTION DE PERSONAL,20201,24
OFICINA DE BIENESTAR SOCIAL Y RELACIONES LABORALES,20203,24
OFICINA GENERAL DE COMUNICACIONES,20300,24
OFICINA DE COMUNICACIONES,20301,24
OFICINA DE PRENSA,20303,24
"OFICINA GENERAL DE TRANSPARENCIA, ETICA PUBLICA Y ANTICORRUPCION",20400,24
OFICINA DE ATENCION AL CIUDADANO Y GESTION DOCUMENTAL,20500,24
OFICINA DE DIALOGO,20600,24
OFICINA GENERAL DE ASESORIA JURIDICA,20700,24
OFICINA GENERAL DE COOPERACION Y ASUNTOS INTERNACIONALES,20800,24
OFICINA DE DEFENSA NACIONAL Y DE GESTION DEL RIESGO DE DESASTRES,20900,24
SECRETARIA DE PLANIFICACION ESTRATEGICA,30000,24
OFICINA DE PLANIFICACION ESTRATEGICA Y PRESUPUESTO,30100,24
UNIDAD DE FINANCIAMIENTO POR DESEMPEÑO,30101,24
UNIDAD DE PLANIFICACION Y PRESUPUESTO,30102,24
UNIDAD DE PROGRAMACION E INVERSIONES,30103,24
UNIDAD DE ESTADISTICA,30201,24
OFICINA DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION,30400,24
UNIDAD DE CALIDAD Y SEGURIDAD DE LA INFORMACION,30401,24
UNIDAD DE SISTEMAS DE INFORMACION,30402,24
UNIDAD DE INFRAESTRUCTURA TECNOLOGICA,30403,24
UNIDAD DE SERVICIO DE ATENCION AL CIUDADADO,30404,24
DESPACHO VICEMINISTERIAL DE GESTION PEDAGOGICA,40000,24
DIRECCION GENERAL DE EDUCACION SUPERIOR UNIVERSITARIA,40600,24
DIRECCION DE POLITICAS PARA EL DESARROLLO Y ASEGURAMIENTO DE LA CALIDAD DE LA EDUCACION SUPERIOR UNIVERSITARIA,40601,24
DIRECCION DE COORDINACION Y PROMOCION DE LA CALIDAD DE LA EDUCACION SUPERIOR UNIVERSITARIA,40602,24
DESPACHO VICEMINISTERIAL DE GESTION INSTITUCIONAL,50000,24
DIRECCION GENERAL DE GESTION DESCENTRALIZADA,50100,24
DIRECCION DE RELACIONES INTERGUBERNAMENTALES,50101,24
DIRECCION DE APOYO A LA GESTION EDUCATIVA DESCENTRALIZADA,50102,24
DIRECCION GENERAL DE INFRAESTRUCTURA EDUCATIVA,50300,24
DIRECCION DE PLANIFICACION DE INVERSIONES,50301,24
DIRECCION DE NORMATIVIDAD DE INFRAESTRUCTURA,50302,24
DIRECCION DE SANEAMIENTO FISICO LEGAL Y REGISTRO INMOVILIARIO,50303,24
DIRECCION GENERAL DE BECAS Y CREDITO EDUCATIVO,50400,24
OFICINA GENERAL DE ADMINISTRACION,20100,26
OFICINA DE LOGISTICA,20101,26
OFICINA DE CONTABILIDAD Y CONTROL PREVIO,20102,26
OFICINA DE TESORERIA,20103,26
OFICINA GENERAL DE RECURSOS HUMANOS,20200,26
OFICINA DE GESTION DEL DESARROLLO Y LA CAPACITACION,20202,26
OFICINA GENERAL DE COMUNICACIONES,20300,26
OFICINA DE RELACIONES INTER-INSTITUCIONALES,20302,26
OFICINA DE DEFENSA NACIONAL Y DE GESTION DEL RIESGO DE DESASTRES,20900,26
UNIDAD DE PLANIFICACION Y PRESUPUESTO,30102,26
UNIDAD DE ORGANIZACION Y METODOS,30104,26
OFICINA DE SEGUIMIENTO Y EVALUACION ESTRATEGICA,30200,26
UNIDAD DE ESTADISTICA,30201,26
UNIDAD DE SEGUIMIENTO Y EVALUACION,30202,26
OFICINA DE MEDICION DE LA CALIDAD DE LOS APRENDIZAJES,30300,26
OFICINA DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION,30400,26
SECRETARIA NACIONAL DE LA JUVENTUD,30500,26
"DIRECCION DE PROMOCION, ORGANIZACION Y GESTION",30501,26
DIRECCION DE INVESTIGACION Y DESARROLLO,30502,26
DIRECCION DE ASISTENCIA INTEGRAL Y MONITOREO,30503,26
DIRECCION GENERAL DE EDUCACION BASICA REGULAR,40100,26
DIRECCION DE EDUCACION INICIAL,40101,26
DIRECCION DE EDUCACION PRIMARIA,40102,26
DIRECCION DE EDUCACION SECUNDARIA,40103,26
DIRECCION DE EDUCACION FISICA Y DEPORTE,40104,26
"DIRECCION GENERAL DE EDUCACION BASICA ALTERNATIVA, INTERCULTURAL BILINGUE Y DE SERVICIOS EDUCATIVOS EN EL AMBITO RURAL",40200,26
DIRECCION DE EDUCACION BASICA ALTERNATIVA,40201,26
DIRECCION DE EDUCACION INTERCULTURAL BILINGUE,40202,26
DIRECCION DE SERVICIOS EDUCATIVOS EN EL AMBITO RURAL,40203,26
DIRECCION GENERAL DE SERVICIOS EDUCATIVOS ESPECIALIZADOS,40300,26
DIRECCION DE EDUCACION BASICA ESPECIAL,40301,26
DIRECCION DE EDUCACION BASICA PARA ESTUDIANTES CON DESEMPEÑO SOBRESALIENTE Y ALTO RENDIMIENTO,40302,26
DIRECCION DE INNOVACION TECNOLOGICA EN EDUCACION,40400,26
DIRECCION GENERAL DE DESARROLLO DOCENTE,40500,26
DIRECCION TECNICO NORMATIVA DE DOCENTES,40501,26
DIRECCION DE EVALUACION DOCENTE,40502,26
DIRECCION DE PROMOCION DEL BIENESTAR Y RECONOCIMIENTO DOCENTE,40503,26
DIRECCION DE FORMACION INICIAL DOCENTE,40504,26
DIRECCION DE FORMACION DOCENTE EN SERVICIO,40505,26
DIRECCION GENERAL DE EDUCACION TECNICO-PRODUCTIVA Y SUPERIOR TECNOLOGICA Y ARTISTICA,40700,26
DIRECCION DE SERVICIOS DE EDUCACION TECNICO-PRODUCTIVA Y SUPERIOR TECNOLOGICA Y ARTISTICA,40701,26
DIRECCION DE GESTION DE INSTITUCIONES DE EDUCACION TECNICO PRODUCTIVA Y SUPERIOR TECNOLOGICA Y ARTISTICA,40702,26
CASA DE LA LITERATURA,40800,26
DIRECCION GENERAL DE GESTION DESCENTRALIZADA,50100,26
DIRECCION DE FORTALECIMIENTO DE CAPACIDADES,50103,26
DIRECCION GENERAL DE CALIDAD DE LA GESTION ESCOLAR,50200,26
DIRECCION DE GESTION ESCOLAR,50201,26
DIRECCION DE FORTALECIMIENTO DE LA GESTION ESCOLAR,50202,26
